timestamp,symbol,open,high,low,close,weighted_price,volume
2017-10-01 16:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,16494.56421755
2017-10-01 16:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,114639.19603870
2017-10-01 16:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,23550.93038836
2017-10-01 16:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,27110.49370500
2017-10-01 17:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,39045.85870573
2017-10-01 17:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,16274.60408656
2017-10-01 17:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,72418.74767175
2017-10-01 17:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,2.00000000
2017-10-01 18:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,1225.40335840
2017-10-01 18:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,17624.92957056
2017-10-01 18:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,7951.73832764
2017-10-01 18:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,52678.85378974
2017-10-01 19:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,17232.91205491
2017-10-01 19:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,6869.89154748
2017-10-01 19:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,20383.57772673
2017-10-01 19:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,21965.61209764
2017-10-01 20:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,6575.73943700
2017-10-01 20:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,18762.10626848
2017-10-01 20:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,52318.32091002
2017-10-01 20:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,959.33723014
2017-10-01 21:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,21245.50320407
2017-10-01 21:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,26370.07165520
2017-10-01 21:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,10373.56969800
2017-10-01 21:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,1399.54219800
2017-10-01 22:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,36266.39513517
2017-10-01 22:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,12049.72693339
2017-10-01 22:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,1418064.24347926
2017-10-01 22:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,194528.52198088
2017-10-01 23:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,61166.14616702
2017-10-01 23:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,288013.48946914
2017-10-01 23:30:00+00,XRPUSD,0.20,0.21,0.20,0.21,0.20,684780.18760967
2017-10-01 23:45:00+00,XRPUSD,0.21,0.21,0.21,0.21,0.21,597957.94047884
2017-10-02 00:00:00+00,XRPUSD,0.21,0.21,0.21,0.21,0.21,343154.18755720
2017-10-02 00:15:00+00,XRPUSD,0.21,0.21,0.21,0.21,0.21,222270.67672422
2017-10-02 00:30:00+00,XRPUSD,0.21,0.21,0.21,0.21,0.21,69612.09492546
2017-10-02 00:45:00+00,XRPUSD,0.21,0.21,0.21,0.21,0.21,201897.46452951
2017-10-02 01:00:00+00,XRPUSD,0.21,0.21,0.21,0.21,0.21,80541.48559482
2017-10-02 01:15:00+00,XRPUSD,0.21,0.21,0.21,0.21,0.21,231733.02414766
2017-10-02 01:30:00+00,XRPUSD,0.21,0.21,0.21,0.21,0.21,109131.70772758
2017-10-02 01:45:00+00,XRPUSD,0.21,0.21,0.21,0.21,0.21,99435.28606435
2017-10-02 02:00:00+00,XRPUSD,0.21,0.21,0.20,0.21,0.21,79428.34131623
2017-10-02 02:15:00+00,XRPUSD,0.21,0.21,0.20,0.21,0.21,210493.48614247
2017-10-02 02:30:00+00,XRPUSD,0.21,0.21,0.20,0.20,0.20,116235.70033589
2017-10-02 02:45:00+00,XRPUSD,0.20,0.21,0.20,0.21,0.20,189199.66389657
2017-10-02 03:00:00+00,XRPUSD,0.21,0.21,0.20,0.21,0.21,189849.66022269
2017-10-02 03:15:00+00,XRPUSD,0.20,0.21,0.20,0.21,0.20,183774.87153500
2017-10-02 03:30:00+00,XRPUSD,0.20,0.21,0.20,0.21,0.20,19917.41333800
2017-10-02 03:45:00+00,XRPUSD,0.20,0.21,0.20,0.20,0.20,119193.64153119
2017-10-02 04:00:00+00,XRPUSD,0.20,0.21,0.20,0.21,0.20,54419.78037200
2017-10-02 04:15:00+00,XRPUSD,0.21,0.21,0.21,0.21,0.21,101495.71121970
2017-10-02 04:30:00+00,XRPUSD,0.21,0.21,0.20,0.20,0.21,154967.10056670
2017-10-02 04:45:00+00,XRPUSD,0.20,0.21,0.20,0.20,0.20,433195.26062234
2017-10-02 05:00:00+00,XRPUSD,0.20,0.21,0.20,0.21,0.20,506775.82291551
2017-10-02 05:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,6350.11560420
2017-10-02 05:30:00+00,XRPUSD,0.20,0.21,0.20,0.21,0.20,29369.44228850
2017-10-02 05:45:00+00,XRPUSD,0.21,0.21,0.20,0.21,0.20,146532.15814500
2017-10-02 06:00:00+00,XRPUSD,0.21,0.21,0.20,0.20,0.21,380255.05204919
2017-10-02 06:15:00+00,XRPUSD,0.20,0.21,0.20,0.20,0.20,68216.32816298
2017-10-02 06:30:00+00,XRPUSD,0.20,0.21,0.20,0.20,0.20,89580.33476518
2017-10-02 06:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,67240.54698100
2017-10-02 07:00:00+00,XRPUSD,0.20,0.21,0.20,0.20,0.20,149093.29981902
2017-10-02 07:15:00+00,XRPUSD,0.21,0.21,0.20,0.21,0.21,45241.75049798
2017-10-02 07:30:00+00,XRPUSD,0.21,0.21,0.20,0.20,0.20,26271.94367739
2017-10-02 07:45:00+00,XRPUSD,0.20,0.21,0.20,0.20,0.20,143519.79338862
2017-10-02 08:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,71490.60983882
2017-10-02 08:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,72024.19484137
2017-10-02 08:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,17550.80929800
2017-10-02 08:45:00+00,XRPUSD,0.20,0.21,0.20,0.21,0.20,120290.07421590
2017-10-02 09:00:00+00,XRPUSD,0.20,0.21,0.20,0.20,0.20,80876.87635015
2017-10-02 09:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,35128.88602605
2017-10-02 09:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,213463.04945008
2017-10-02 09:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,160602.35324727
2017-10-02 10:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,269545.65571403
2017-10-02 10:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,194185.10098570
2017-10-02 10:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,80098.46369700
2017-10-02 10:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,95461.26549626
2017-10-02 11:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,50647.77396368
2017-10-02 11:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,250448.20321157
2017-10-02 11:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,289864.04642909
2017-10-02 11:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,132982.11114424
2017-10-02 12:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,28073.92766576
2017-10-02 12:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,257087.16029685
2017-10-02 12:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,65582.16748745
2017-10-02 12:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,78169.70507582
2017-10-02 13:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,70202.74458753
2017-10-02 13:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,8960.39749954
2017-10-02 13:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,45824.21532043
2017-10-02 13:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,20525.90321202
2017-10-02 14:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,1236.34575900
2017-10-02 14:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,100608.07834431
