timestamp,symbol,open,high,low,close,weighted_price,volume
2017-10-01 16:15:00+00,ETHUSD,300.38,301.51,300.37,301.10,301.17,2215.57268749
2017-10-01 16:30:00+00,ETHUSD,301.10,302.18,301.10,301.20,301.38,1915.47286265
2017-10-01 16:45:00+00,ETHUSD,301.20,301.26,300.46,300.49,300.95,1020.20542901
2017-10-01 17:00:00+00,ETHUSD,300.49,300.66,300.00,300.48,300.09,1134.58260603
2017-10-01 17:15:00+00,ETHUSD,300.30,300.45,300.00,300.00,300.14,428.22478879
2017-10-01 17:30:00+00,ETHUSD,300.00,301.14,300.00,300.57,300.47,1395.91696619
2017-10-01 17:45:00+00,ETHUSD,300.20,301.84,300.12,301.31,300.94,1259.20818717
2017-10-01 18:00:00+00,ETHUSD,301.31,301.96,300.36,300.88,301.23,1122.97018686
2017-10-01 18:15:00+00,ETHUSD,300.92,300.96,300.18,300.59,300.47,563.32345671
2017-10-01 18:30:00+00,ETHUSD,300.51,301.46,300.41,301.38,300.91,596.38595093
2017-10-01 18:45:00+00,ETHUSD,301.50,301.80,301.20,301.80,301.55,816.98119531
2017-10-01 19:00:00+00,ETHUSD,301.80,301.99,301.78,301.98,301.88,558.01139323
2017-10-01 19:15:00+00,ETHUSD,301.98,302.49,301.75,301.76,302.23,688.50746768
2017-10-01 19:30:00+00,ETHUSD,301.76,302.36,301.70,301.85,301.86,458.71198773
2017-10-01 19:45:00+00,ETHUSD,301.86,301.91,300.69,300.90,301.22,1093.80904293
2017-10-01 20:00:00+00,ETHUSD,300.89,301.25,300.61,300.70,300.76,688.04354933
2017-10-01 20:15:00+00,ETHUSD,300.76,301.40,300.60,301.00,300.87,898.42553293
2017-10-01 20:30:00+00,ETHUSD,301.00,301.15,300.62,300.95,300.90,418.25914191
2017-10-01 20:45:00+00,ETHUSD,300.95,302.41,300.80,301.99,301.72,987.38537110
2017-10-01 21:00:00+00,ETHUSD,301.90,302.91,301.84,302.85,302.31,1276.53393666
2017-10-01 21:15:00+00,ETHUSD,302.86,303.05,301.86,302.05,302.49,1106.84471966
2017-10-01 21:30:00+00,ETHUSD,302.05,303.05,301.99,302.58,302.47,1474.14886839
2017-10-01 21:45:00+00,ETHUSD,302.60,303.01,302.51,303.00,302.70,545.47073321
2017-10-01 22:00:00+00,ETHUSD,303.00,304.43,302.80,303.44,303.56,1362.93697040
2017-10-01 22:15:00+00,ETHUSD,303.68,304.41,302.97,304.14,303.78,686.06726720
2017-10-01 22:30:00+00,ETHUSD,304.29,305.50,304.10,305.29,304.80,2554.61115152
2017-10-01 22:45:00+00,ETHUSD,305.29,305.57,303.67,304.84,304.80,2403.67166785
2017-10-01 23:00:00+00,ETHUSD,304.93,305.00,304.02,304.37,304.63,2035.93845804
2017-10-01 23:15:00+00,ETHUSD,304.32,304.94,304.10,304.35,304.49,707.44677864
2017-10-01 23:30:00+00,ETHUSD,304.33,304.68,303.46,303.75,304.12,964.81522952
2017-10-01 23:45:00+00,ETHUSD,303.85,304.31,303.62,304.26,304.03,337.92598275
2017-10-02 00:00:00+00,ETHUSD,304.26,304.63,303.57,303.97,304.15,1394.52903399
2017-10-02 00:15:00+00,ETHUSD,303.83,303.98,303.41,303.41,303.54,758.10106916
2017-10-02 00:30:00+00,ETHUSD,303.25,303.25,300.00,300.37,301.00,5114.06123694
2017-10-02 00:45:00+00,ETHUSD,300.13,301.48,300.11,300.40,300.68,3395.36781574
2017-10-02 01:00:00+00,ETHUSD,300.39,302.22,300.10,302.22,301.11,1242.55006353
2017-10-02 01:15:00+00,ETHUSD,302.15,302.57,301.51,302.49,302.14,2254.78456836
2017-10-02 01:30:00+00,ETHUSD,302.60,303.07,302.46,303.02,302.71,1444.42446437
2017-10-02 01:45:00+00,ETHUSD,303.06,303.20,302.80,303.03,303.01,1064.53672684
2017-10-02 02:00:00+00,ETHUSD,303.04,303.20,302.60,303.01,303.03,815.26074677
2017-10-02 02:15:00+00,ETHUSD,303.01,303.28,302.64,302.64,303.05,1424.34789840
2017-10-02 02:30:00+00,ETHUSD,302.64,303.00,300.93,301.29,301.85,1790.51661437
2017-10-02 02:45:00+00,ETHUSD,301.47,301.99,301.21,301.74,301.75,686.58547656
2017-10-02 03:00:00+00,ETHUSD,301.74,301.79,300.00,300.97,300.80,1788.46510071
2017-10-02 03:15:00+00,ETHUSD,301.01,301.22,300.07,301.20,300.69,1067.04668794
2017-10-02 03:30:00+00,ETHUSD,301.21,301.51,300.57,301.45,301.15,365.16225678
2017-10-02 03:45:00+00,ETHUSD,301.46,301.94,301.26,301.27,301.58,565.50150539
2017-10-02 04:00:00+00,ETHUSD,301.26,302.15,301.25,302.15,301.93,352.88446143
2017-10-02 04:15:00+00,ETHUSD,302.18,302.55,301.46,302.11,302.23,1119.66703035
2017-10-02 04:30:00+00,ETHUSD,302.15,302.37,301.50,302.00,302.00,740.86705864
2017-10-02 04:45:00+00,ETHUSD,302.00,302.27,300.98,301.00,301.55,2196.75823187
2017-10-02 05:00:00+00,ETHUSD,301.00,302.26,300.99,302.15,301.47,729.35327348
2017-10-02 05:15:00+00,ETHUSD,302.02,302.51,301.49,301.67,301.91,980.63886817
2017-10-02 05:30:00+00,ETHUSD,301.67,302.25,301.45,301.69,301.88,1292.50041708
2017-10-02 05:45:00+00,ETHUSD,301.72,302.39,301.72,301.73,301.92,814.12466180
2017-10-02 06:00:00+00,ETHUSD,301.82,302.18,301.60,301.87,301.83,864.47566949
2017-10-02 06:15:00+00,ETHUSD,301.86,302.10,301.58,301.82,301.82,1394.85376663
2017-10-02 06:30:00+00,ETHUSD,301.70,302.37,301.53,302.01,301.91,1522.88336425
2017-10-02 06:45:00+00,ETHUSD,302.01,302.29,301.64,301.64,302.01,745.62708072
2017-10-02 07:00:00+00,ETHUSD,301.75,301.99,301.57,301.70,301.76,1275.13472463
2017-10-02 07:15:00+00,ETHUSD,301.70,302.00,301.51,301.71,301.81,695.41125620
2017-10-02 07:30:00+00,ETHUSD,301.90,302.27,301.17,301.52,301.69,1326.68159284
2017-10-02 07:45:00+00,ETHUSD,301.26,301.91,300.79,301.34,301.30,1202.77040322
2017-10-02 08:00:00+00,ETHUSD,301.37,301.42,300.73,301.01,301.04,1001.86895959
2017-10-02 08:15:00+00,ETHUSD,301.07,301.33,301.01,301.10,301.10,435.45627097
2017-10-02 08:30:00+00,ETHUSD,301.10,301.91,301.01,301.65,301.49,573.26805454
2017-10-02 08:45:00+00,ETHUSD,301.68,302.11,301.67,301.75,301.83,1096.88481501
2017-10-02 09:00:00+00,ETHUSD,301.74,302.20,301.51,301.73,301.88,653.35354068
2017-10-02 09:15:00+00,ETHUSD,301.72,302.19,301.27,301.66,301.82,446.62358163
2017-10-02 09:30:00+00,ETHUSD,301.86,302.22,301.19,302.20,301.82,504.69958902
2017-10-02 09:45:00+00,ETHUSD,302.20,303.04,301.91,301.91,302.68,1330.72721921
2017-10-02 10:00:00+00,ETHUSD,301.62,302.39,301.60,302.37,302.03,491.26595700
2017-10-02 10:15:00+00,ETHUSD,302.36,302.75,302.16,302.61,302.54,1434.39122709
2017-10-02 10:30:00+00,ETHUSD,302.61,302.75,302.17,302.64,302.48,619.51524160
2017-10-02 10:45:00+00,ETHUSD,302.69,303.00,302.65,302.96,302.92,750.23631879
2017-10-02 11:00:00+00,ETHUSD,302.96,303.12,302.63,302.87,302.92,774.61936036
2017-10-02 11:15:00+00,ETHUSD,302.71,302.93,302.26,302.48,302.53,492.33353145
2017-10-02 11:30:00+00,ETHUSD,302.49,302.60,301.01,301.15,301.62,1547.22762367
2017-10-02 11:45:00+00,ETHUSD,301.21,301.31,300.05,300.15,300.64,2126.63293518
2017-10-02 12:00:00+00,ETHUSD,300.10,301.12,299.80,300.29,300.21,2816.02638070
2017-10-02 12:15:00+00,ETHUSD,300.34,300.34,298.53,299.13,299.35,2520.42763632
2017-10-02 12:30:00+00,ETHUSD,299.14,299.30,295.77,297.40,296.96,8166.57424944
2017-10-02 12:45:00+00,ETHUSD,297.40,298.42,297.40,297.70,298.05,2118.24366483
2017-10-02 13:00:00+00,ETHUSD,297.63,299.00,297.25,298.99,298.17,735.68753335
2017-10-02 13:15:00+00,ETHUSD,298.99,299.40,297.00,297.76,297.70,6272.01530399
2017-10-02 13:30:00+00,ETHUSD,297.76,299.26,297.76,299.15,298.97,5944.64808548
2017-10-02 13:45:00+00,ETHUSD,299.15,299.40,298.70,299.32,299.13,229.59369713
2017-10-02 14:00:00+00,ETHUSD,299.20,299.40,298.52,298.76,299.08,840.68511003
2017-10-02 14:15:00+00,ETHUSD,298.80,300.36,298.51,299.73,299.49,1067.66770148
2017-10-02 14:30:00+00,ETHUSD,299.70,299.96,298.59,298.81,299.11,1926.95671668
2017-10-02 14:45:00+00,ETHUSD,298.79,299.69,298.75,299.02,299.21,770.25863635
2017-10-02 15:00:00+00,ETHUSD,299.01,299.13,298.26,299.00,298.68,477.41010311
2017-10-02 15:15:00+00,ETHUSD,299.06,299.20,297.99,298.82,298.42,2779.41015134
2017-10-02 15:30:00+00,ETHUSD,298.23,298.50,297.72,297.96,297.92,953.49706302
2017-10-02 15:45:00+00,ETHUSD,297.87,298.15,296.38,297.03,297.29,3160.88795650
2017-10-02 16:00:00+00,ETHUSD,297.02,298.41,297.01,298.40,297.82,819.00529919
2017-10-02 16:15:00+00,ETHUSD,298.25,298.87,297.80,298.23,298.42,694.85382110
2017-10-02 16:30:00+00,ETHUSD,297.80,298.60,296.00,296.99,297.10,3350.16131451
2017-10-02 16:45:00+00,ETHUSD,296.99,297.00,295.91,296.76,296.73,781.05595318
2017-10-02 17:00:00+00,ETHUSD,296.83,297.81,296.39,296.58,296.98,577.00899184
2017-10-02 17:15:00+00,ETHUSD,296.62,296.65,295.59,295.84,296.17,1203.79944557
2017-10-02 17:30:00+00,ETHUSD,295.75,295.81,295.00,295.02,295.07,3561.74194580
2017-10-02 17:45:00+00,ETHUSD,295.00,295.71,295.00,295.22,295.22,753.75474785
2017-10-02 18:00:00+00,ETHUSD,295.16,295.31,292.10,294.50,293.90,4321.46833792
2017-10-02 18:15:00+00,ETHUSD,294.73,295.26,294.05,294.33,294.69,690.75400068
2017-10-02 18:30:00+00,ETHUSD,294.32,295.20,294.20,295.20,294.72,954.61317280
2017-10-02 18:45:00+00,ETHUSD,295.10,295.10,294.24,294.46,294.48,595.95291840
2017-10-02 19:00:00+00,ETHUSD,294.45,295.30,294.29,295.30,294.85,1057.55582060
2017-10-02 19:15:00+00,ETHUSD,295.26,297.00,295.19,296.99,296.29,3502.97200180
2017-10-02 19:30:00+00,ETHUSD,297.00,297.50,296.81,297.18,297.11,745.23557809
2017-10-02 19:45:00+00,ETHUSD,297.17,297.50,296.52,297.30,297.09,1312.77815116
2017-10-02 20:00:00+00,ETHUSD,297.46,297.50,297.15,297.41,297.47,1170.56338189
2017-10-02 20:15:00+00,ETHUSD,297.38,297.38,296.10,296.46,296.59,495.16356473
2017-10-02 20:30:00+00,ETHUSD,296.48,297.40,296.42,297.19,296.95,640.68137118
2017-10-02 20:45:00+00,ETHUSD,297.19,297.40,296.77,297.00,297.02,693.93643932
2017-10-02 21:00:00+00,ETHUSD,297.00,297.00,295.99,296.00,296.22,1716.78440151
2017-10-02 21:15:00+00,ETHUSD,296.00,296.67,294.85,295.95,295.59,2051.63601184
2017-10-02 21:30:00+00,ETHUSD,296.00,296.00,295.77,295.99,295.95,448.75259456
2017-10-02 21:45:00+00,ETHUSD,295.99,296.00,295.24,295.60,295.60,998.59253790
2017-10-02 22:00:00+00,ETHUSD,295.60,295.99,295.27,295.50,295.66,588.07732183
2017-10-02 22:15:00+00,ETHUSD,295.49,296.49,295.39,296.24,296.03,503.15397615
